"","date","ch4.corr","ch4.raw","lon","lat","alt"
"1",2020-03-12 14:56:26,2100.34277575365,2100.34277575365,8.6032874555,47.390564355,0.007323333
"2",2020-03-12 14:56:28,2054.89864645874,2054.89864645874,8.603287464,47.390564345,0.004623333
"3",2020-03-12 14:56:30,2034.72005169141,2034.72005169141,8.603287466,47.39056433,-0.000126667
"4",2020-03-12 14:56:32,2014.5504691749,2014.5504691749,8.6032874455,47.390564385,0.000773333
"5",2020-03-12 14:56:34,1994.38088032375,1994.38088032375,8.6032874895,47.39056436,-0.002426667
"6",2020-03-12 14:56:36,1974.88610826552,1974.88610826552,8.6032874845,47.390564325,0.001773333
"7",2020-03-12 14:56:38,1970.31043390468,1970.31043390468,8.6032874545,47.390564335,0.001473333
"8",2020-03-12 14:56:40,1965.73545455468,1965.73545455468,8.6032874645,47.39056433,-0.002176667
"9",2020-03-12 14:56:42,1961.16047376782,1961.16047376782,8.603287462,47.39056435,0.001573333
"10",2020-03-12 14:56:44,1956.59585346566,1956.59585346566,8.603287468,47.39056434,-0.006226667
"11",2020-03-12 14:56:46,1955.94223645896,1955.94223645896,8.60328747,47.3905644,-0.003026667
"12",2020-03-12 14:56:48,1955.28861945226,1955.28861945226,8.603287464,47.390564365,-0.002626667
"13",2020-03-12 14:56:50,1954.2091780739,1954.2091780739,8.603287472,47.39056438,-0.003126667
"14",2020-03-12 14:56:52,1953.84758923581,1953.84758923581,8.603287477,47.39056438,-0.009076667
"15",2020-03-12 14:56:54,1953.48600039772,1953.48600039772,8.60328747,47.390564395,-0.009776667
"16",2020-03-12 14:56:56,1953.77678687592,1953.77678687592,8.6032874705,47.390564375,-0.009776667
"17",2020-03-12 14:56:58,1954.16541007468,1954.16541007468,8.6032874555,47.39056439,-0.006826667
"18",2020-03-12 14:57:00,1954.29385213833,1954.29385213833,8.6032874495,47.390564365,-0.005576667
"19",2020-03-12 14:57:02,1954.42229420197,1954.42229420197,8.6032874595,47.39056439,-0.005826667
"20",2020-03-12 14:57:04,1954.54014039651,1954.54014039651,8.6032874525,47.39056442,-0.006626667
"21",2020-03-12 14:57:06,1954.65541695345,1954.65541695345,8.6032874545,47.390564405,-0.008276667
"22",2020-03-12 14:57:08,1954.69194046233,1954.69194046233,8.603287472,47.390564385,-0.006676667
"23",2020-03-12 14:57:10,1954.72846397121,1954.72846397121,8.60328744,47.39056443,-0.006426667
"24",2020-03-12 14:57:12,1954.94162076487,1954.94162076487,8.603287417,47.390564425,-0.004576667
"25",2020-03-12 14:57:14,1955.15677864631,1955.15677864631,8.6032874295,47.390564415,0.000573333
"26",2020-03-12 14:57:16,1955.23782459883,1955.23782459883,8.6032874295,47.39056442,0.000323333
"27",2020-03-12 14:57:18,1955.31887055134,1955.31887055134,8.603287437,47.39056441,-0.005426667
"28",2020-03-12 14:57:20,1955.5757904059,1955.5757904059,8.6032874185,47.390564425,-0.002476667
"29",2020-03-12 14:57:22,1955.70100457788,1955.70100457788,8.603287419,47.390564415,0.000873333
"30",2020-03-12 14:57:24,1955.82621874986,1955.82621874986,8.6032874105,47.39056442,-0.003426667
"31",2020-03-12 14:57:26,1955.90300200615,1955.90300200615,8.603287398,47.390564405,0.0003233165
"32",2020-03-12 14:57:28,1955.97978526244,1955.97978526244,8.6032874005,47.39056442,0.003273333
"33",2020-03-12 14:57:30,1957.33495319464,1957.33495319464,8.603287385,47.39056442,0.001973333
"34",2020-03-12 14:57:32,1958.80004331411,1958.80004331411,8.6032874055,47.39056439,0.001023333
"35",2020-03-12 14:57:34,1959.54897105474,1959.54897105474,8.603287378,47.390564375,-0.000476667
"36",2020-03-12 14:57:36,1960.29789879537,1960.29789879537,8.603287358,47.390564405,0.000523333
"37",2020-03-12 14:57:38,1961.81601041532,1961.81601041532,8.603287362,47.390564395,0.000823333
"38",2020-03-12 14:57:40,1962.82675196278,1962.82675196278,8.603287362,47.39056441,0.000773333
"39",2020-03-12 14:57:42,1963.3241018611,1963.3241018611,8.603287332,47.39056437,0.000473333
"40",2020-03-12 14:57:44,1963.82145175942,1963.82145175942,8.6032873155,47.39056439,0.0011733165
"41",2020-03-12 14:57:46,1967.76962742344,1967.76962742344,8.603290557,47.390562035,0.832523333
"42",2020-03-12 14:57:48,1972.03436597231,1972.03436597231,8.6032955835,47.39055478,4.994173333
"43",2020-03-12 14:57:50,1973.45937293419,1973.45937293419,8.603307102,47.390541775,6.366923333
"44",2020-03-12 14:57:52,1974.88437989608,1974.88437989608,8.6033315475,47.390524955,6.607273333
"45",2020-03-12 14:57:54,1982.50368345989,1982.50368345989,8.603344558,47.390515025,6.562123333
"46",2020-03-12 14:57:56,1990.67968120058,1990.67968120058,8.6033493985,47.39051422,6.476523333
"47",2020-03-12 14:57:58,1993.3975771801,1993.3975771801,8.603350087,47.390518415,6.369923333
"48",2020-03-12 14:58:00,1996.11547315962,1996.11547315962,8.6033919125,47.390505955,6.295623333
"49",2020-03-12 14:58:02,2010.86948211464,2010.86948211464,8.603467519,47.390479085,6.152123333
"50",2020-03-12 14:58:04,2018.96703975485,2018.96703975485,8.603531845,47.390450735,6.126023333
"51",2020-03-12 14:58:06,2027.06459739506,2027.06459739506,8.603584997,47.39042375,6.072023333
"52",2020-03-12 14:58:08,2037.8700493943,2037.8700493943,8.603633394,47.390398395,6.046823333
"53",2020-03-12 14:58:10,2066.75418892072,2066.75418892072,8.603676482,47.39037531,5.966173333
"54",2020-03-12 14:58:12,2082.76663127414,2082.76663127414,8.603716674,47.39035739,5.956473333
